0.00.183.376 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.308.508 W srv  llama_server: -----------------
0.00.308.510 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.308.511 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.308.511 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.308.511 W srv  llama_server: -----------------
0.00.310.094 I srv    load_model: loading model '/home/awee/models/deepseek-v4-flash/DeepSeek-V4-Flash-0731-TQ3_4S_v9a.gguf'
0.00.843.899 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
1.50.811.842 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 524288, kv_unified = 'false'
1.50.822.704 I srv  llama_server: model loaded
1.50.822.710 I srv  llama_server: listening on http://127.0.0.1:8086
18.38.855.242 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
19.47.059.417 I slot print_timing: id  0 | task 88 | n_decoded =    816, tg =  13.84 t/s, tg_3s =  14.33 t/s
19.50.128.412 I slot print_timing: id  0 | task 88 | n_decoded =    859, tg =  13.85 t/s, tg_3s =  14.01 t/s
19.53.130.156 I slot print_timing: id  0 | task 88 | n_decoded =    902, tg =  13.87 t/s, tg_3s =  14.33 t/s
19.56.197.655 I slot print_timing: id  0 | task 88 | n_decoded =    945, tg =  13.88 t/s, tg_3s =  14.02 t/s
19.59.249.166 I slot print_timing: id  0 | task 88 | n_decoded =    988, tg =  13.89 t/s, tg_3s =  14.09 t/s
20.01.904.486 I slot print_timing: id  0 | task 88 | prompt eval time =     831.67 ms /    18 tokens (   46.20 ms per token,    21.64 tokens per second)
20.01.904.491 I slot print_timing: id  0 | task 88 |        eval time =   73802.47 ms /  1024 tokens (   72.07 ms per token,    13.87 tokens per second)
20.01.904.491 I slot print_timing: id  0 | task 88 |       total time =   74634.14 ms /  1042 tokens
20.01.904.492 I slot print_timing: id  0 | task 88 |    graphs reused =       1082
20.01.904.511 I slot      release: id  0 | task 88 | stop processing: n_tokens = 1041, truncated = 0
20.01.907.544 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.017
20.01.924.565 I slot launch_slot_: id  0 | task 1114 | processing task, is_child = 0
20.09.111.289 I slot print_timing: id  0 | task 1114 | n_decoded =    100, tg =  14.29 t/s, tg_3s =  14.29 t/s
20.12.157.712 I slot print_timing: id  0 | task 1114 | n_decoded =    143, tg =  14.24 t/s, tg_3s =  14.11 t/s
20.15.213.387 I slot print_timing: id  0 | task 1114 | n_decoded =    185, tg =  14.12 t/s, tg_3s =  13.74 t/s
20.18.247.495 I slot print_timing: id  0 | task 1114 | n_decoded =    228, tg =  14.13 t/s, tg_3s =  14.17 t/s
20.21.258.735 I slot print_timing: id  0 | task 1114 | n_decoded =    270, tg =  14.10 t/s, tg_3s =  13.95 t/s
20.24.276.438 I slot print_timing: id  0 | task 1114 | n_decoded =    312, tg =  14.08 t/s, tg_3s =  13.92 t/s
20.27.306.438 I slot print_timing: id  0 | task 1114 | n_decoded =    355, tg =  14.09 t/s, tg_3s =  14.19 t/s
20.30.367.294 I slot print_timing: id  0 | task 1114 | n_decoded =    398, tg =  14.09 t/s, tg_3s =  14.05 t/s
20.33.386.782 I slot print_timing: id  0 | task 1114 | n_decoded =    441, tg =  14.10 t/s, tg_3s =  14.24 t/s
20.36.396.331 I slot print_timing: id  0 | task 1114 | n_decoded =    484, tg =  14.12 t/s, tg_3s =  14.29 t/s
20.39.448.591 I slot print_timing: id  0 | task 1114 | n_decoded =    526, tg =  14.09 t/s, tg_3s =  13.76 t/s
20.42.510.073 I slot print_timing: id  0 | task 1114 | n_decoded =    569, tg =  14.09 t/s, tg_3s =  14.05 t/s
20.45.552.010 I slot print_timing: id  0 | task 1114 | n_decoded =    612, tg =  14.09 t/s, tg_3s =  14.14 t/s
20.48.624.133 I slot print_timing: id  0 | task 1114 | n_decoded =    655, tg =  14.08 t/s, tg_3s =  14.00 t/s
20.51.632.854 I slot print_timing: id  0 | task 1114 | n_decoded =    697, tg =  14.08 t/s, tg_3s =  13.96 t/s
20.54.638.683 I slot print_timing: id  0 | task 1114 | n_decoded =    739, tg =  14.07 t/s, tg_3s =  13.97 t/s
20.57.676.761 I slot print_timing: id  0 | task 1114 | n_decoded =    781, tg =  14.06 t/s, tg_3s =  13.82 t/s
21.00.695.898 I slot print_timing: id  0 | task 1114 | n_decoded =    824, tg =  14.07 t/s, tg_3s =  14.24 t/s
21.03.741.817 I slot print_timing: id  0 | task 1114 | n_decoded =    867, tg =  14.07 t/s, tg_3s =  14.12 t/s
21.06.780.911 I slot print_timing: id  0 | task 1114 | n_decoded =    910, tg =  14.07 t/s, tg_3s =  14.15 t/s
21.09.840.799 I slot print_timing: id  0 | task 1114 | n_decoded =    953, tg =  14.07 t/s, tg_3s =  14.05 t/s
21.12.845.893 I slot print_timing: id  0 | task 1114 | n_decoded =    995, tg =  14.07 t/s, tg_3s =  13.98 t/s
21.14.968.194 I slot print_timing: id  0 | task 1114 | prompt eval time =     189.79 ms /     4 tokens (   47.45 ms per token,    21.08 tokens per second)
21.14.968.199 I slot print_timing: id  0 | task 1114 |        eval time =   72853.82 ms /  1024 tokens (   71.15 ms per token,    14.06 tokens per second)
21.14.968.200 I slot print_timing: id  0 | task 1114 |       total time =   73043.61 ms /  1028 tokens
21.14.968.201 I slot print_timing: id  0 | task 1114 |    graphs reused =       2087
21.14.968.223 I slot      release: id  0 | task 1114 | stop processing: n_tokens = 1041, truncated = 0
21.14.969.735 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.017
21.14.993.447 I slot launch_slot_: id  0 | task 2139 | processing task, is_child = 0
21.22.042.757 I slot print_timing: id  0 | task 2139 | n_decoded =    100, tg =  14.57 t/s, tg_3s =  14.57 t/s
21.25.068.018 I slot print_timing: id  0 | task 2139 | n_decoded =    143, tg =  14.46 t/s, tg_3s =  14.21 t/s
21.28.124.430 I slot print_timing: id  0 | task 2139 | n_decoded =    187, tg =  14.45 t/s, tg_3s =  14.40 t/s
21.31.150.279 I slot print_timing: id  0 | task 2139 | n_decoded =    231, tg =  14.46 t/s, tg_3s =  14.54 t/s
21.34.159.931 I slot print_timing: id  0 | task 2139 | n_decoded =    273, tg =  14.38 t/s, tg_3s =  13.96 t/s
21.37.212.924 I slot print_timing: id  0 | task 2139 | n_decoded =    316, tg =  14.34 t/s, tg_3s =  14.08 t/s
21.40.275.115 I slot print_timing: id  0 | task 2139 | n_decoded =    360, tg =  14.35 t/s, tg_3s =  14.37 t/s
21.43.283.405 I slot print_timing: id  0 | task 2139 | n_decoded =    402, tg =  14.30 t/s, tg_3s =  13.96 t/s
21.46.352.054 I slot print_timing: id  0 | task 2139 | n_decoded =    444, tg =  14.24 t/s, tg_3s =  13.69 t/s
21.49.367.825 I slot print_timing: id  0 | task 2139 | n_decoded =    486, tg =  14.22 t/s, tg_3s =  13.93 t/s
21.52.422.897 I slot print_timing: id  0 | task 2139 | n_decoded =    528, tg =  14.18 t/s, tg_3s =  13.75 t/s
21.55.481.813 I slot print_timing: id  0 | task 2139 | n_decoded =    571, tg =  14.17 t/s, tg_3s =  14.06 t/s
21.58.508.183 I slot print_timing: id  0 | task 2139 | n_decoded =    614, tg =  14.17 t/s, tg_3s =  14.21 t/s
22.01.540.746 I slot print_timing: id  0 | task 2139 | n_decoded =    657, tg =  14.17 t/s, tg_3s =  14.18 t/s
22.04.586.878 I slot print_timing: id  0 | task 2139 | n_decoded =    700, tg =  14.17 t/s, tg_3s =  14.12 t/s
22.07.649.666 I slot print_timing: id  0 | task 2139 | n_decoded =    744, tg =  14.18 t/s, tg_3s =  14.37 t/s
22.10.711.538 I slot print_timing: id  0 | task 2139 | n_decoded =    787, tg =  14.17 t/s, tg_3s =  14.04 t/s
22.13.759.045 I slot print_timing: id  0 | task 2139 | n_decoded =    830, tg =  14.17 t/s, tg_3s =  14.11 t/s
22.16.808.559 I slot print_timing: id  0 | task 2139 | n_decoded =    873, tg =  14.17 t/s, tg_3s =  14.10 t/s
22.19.853.378 I slot print_timing: id  0 | task 2139 | n_decoded =    916, tg =  14.16 t/s, tg_3s =  14.12 t/s
22.22.862.863 I slot print_timing: id  0 | task 2139 | n_decoded =    958, tg =  14.15 t/s, tg_3s =  13.96 t/s
22.25.871.072 I slot print_timing: id  0 | task 2139 | n_decoded =   1000, tg =  14.15 t/s, tg_3s =  13.96 t/s
22.27.598.484 I slot print_timing: id  0 | task 2139 | prompt eval time =     186.52 ms /     4 tokens (   46.63 ms per token,    21.44 tokens per second)
22.27.598.488 I slot print_timing: id  0 | task 2139 |        eval time =   72418.49 ms /  1024 tokens (   70.72 ms per token,    14.14 tokens per second)
22.27.598.489 I slot print_timing: id  0 | task 2139 |       total time =   72605.02 ms /  1028 tokens
22.27.598.489 I slot print_timing: id  0 | task 2139 |    graphs reused =       3092
22.27.598.508 I slot      release: id  0 | task 2139 | stop processing: n_tokens = 1041, truncated = 0
53.36.897.824 I srv    operator(): operator(): cleaning up before exit...
